-29,-111,85
-28,-111,85
-26,-111,85
-25,-111,84
-23,-110,83
-22,-110,83
-20,-110,83
-19,-110,83
-18,-109,82
-16,-110,82
-15,-109,82
-13,-108,80
-12,-109,81
-11,-107,80
-9,-107,80
-8,-107,80
-7,-107,79
-5,-106,79
-4,-106,79
-3,-105,78
-1,-105,78
0,-104,77
0,-104,73
-1,-104,73
-3,-104,73
-4,-105,74
-5,-105,74
-6,-105,74
-8,-105,74
-9,-105,74
-10,-106,75
-12,-105,74
-13,-106,75
-14,-106,75
-16,-107,76
-17,-107,77
-18,-106,76
-20,-107,77
-21,-107,77
-23,-108,78
-24,-108,78
-26,-109,79
-27,-109,79
-29,-109,79
-30,-109,79
-32,-110,81
-33,-110,81
-35,-109,81
-36,-109,81
-38,-110,82
-39,-109,82
-41,-110,83
-42,-110,83
-44,-111,84
-46,-112,85
-48,-111,85
-50,-112,86
-51,-112,87
-53,-112,88
-55,-112,88
-57,-113,89
-59,-114,90
-61,-114,91
-63,-115,93
-65,-115,93
-67,-115,94
-69,-116,95
-71,-116,96
-74,-117,97
-76,-117,98
-79,-118,100
-81,-118,101
-83,-118,102
-87,-120,104
-90,-121,106
-92,-121,107
-94,-121,108
-97,-121,109
-100,-121,111
-103,-122,112
-105,-122,113
-108,-122,115
-112,-124,117
-115,-123,119
-101,-107,104
-69,-70,69
-61,-61,61
-56,-56,54
-57,-58,56
-55,-58,55
-55,-59,55
-54,-59,55
-55,-62,57
-62,-72,65
-108,-129,115
-106,-129,115
-104,-129,114
-101,-129,113
-98,-129,111
-96,-129,110
-91,-126,107
-90,-127,107
-87,-126,105
-84,-125,104
-82,-126,103
-79,-124,101
-75,-122,98
-74,-123,98
-71,-123,97
-69,-121,96
-66,-121,94
-64,-119,93
-62,-119,92
-60,-119,92
-58,-119,91
-56,-119,90
-54,-117,88
-52,-117,88
-49,-115,86
-48,-116,86
-46,-116,85
-45,-116,85
-43,-116,85
-41,-116,84
-39,-115,83
-38,-114,83
-36,-113,81
-34,-113,81
-33,-113,81
-31,-112,80
-30,-113,80
-28,-112,79
-27,-112,79
-25,-111,78
-24,-111,78
-22,-111,78
-21,-111,78
-19,-110,77
-18,-110,76
-16,-109,76
-15,-109,75
-13,-108,75
-12,-107,74
-11,-108,74
-9,-107,74
-8,-107,74
-7,-106,73
-5,-106,73
-4,-105,72
-3,-106,72
-1,-106,72
0,-106,72
0,-104,68
-1,-105,68
-3,-104,68
-4,-106,69
-5,-105,68
-6,-105,68
-8,-104,68
-9,-105,69
-10,-105,69
-12,-106,69
-13,-106,70
-14,-106,70
-16,-107,70
-17,-107,70
-19,-107,71
-20,-108,71
-22,-109,72
-23,-109,73
-24,-109,73
-26,-109,73
-27,-110,74
-29,-109,74
-30,-110,74
-32,-110,75
-34,-111,75
-35,-111,76
-37,-111,76
-38,-112,77
-40,-111,77
-41,-111,77
-43,-111,77
-45,-111,78
-46,-112,79
-48,-112,80
-50,-112,80
-52,-113,81
-53,-113,81
-56,-114,82
-57,-114,83
-59,-114,83
-61,-114,84
-63,-115,85
-66,-116,87
-68,-116,87
-70,-116,88
-72,-116,89
-74,-117,90
-76,-117,91
-79,-118,93
-79,-115,91
-66,-93,74
-50,-69,56
-47,-64,52
-43,-56,46
-45,-57,47
-48,-60,50
-67,-82,69
-93,-111,94
-107,-124,107
-109,-123,107
-113,-124,109
-113,-122,108
-67,-70,63
-59,-60,55
-59,-59,54
-56,-56,50
-57,-58,51
-55,-58,50
-53,-57,49
-54,-59,51
-54,-61,52
-54,-63,52
-73,-87,72
-107,-131,107
-104,-130,105
-102,-131,105
-101,-133,106
-62,-84,66
-45,-62,49
-42,-60,47
-44,-65,50
-44,-66,50
-41,-62,47
-42,-66,49
-40,-65,48
-40,-67,49
-43,-73,53
